"asn","tg_op"
31211,"NULL"
39324,"NULL"
39699,"FI03"
42343,"FI03"
49282,"NULL"
21366,"NULL"
20931,"FI02"
20904,"NULL"
20569,"NULL"
20542,"NULL"
16302,"NULL"
13276,"NULL"
13170,"FI03"
8829,"FI03"
8624,"NULL"
3292,"FI01"
1741,"NULL"
16023,"NULL"
49826,"NULL"
39194,"FI03"
702,"NULL"
1668,"NULL"
1715,"NULL"
1942,"NULL"
2200,"NULL"
2422,"NULL"
2426,"NULL"
8220,"NULL"
8554,"NULL"
9159,"NULL"
12876,"NULL"
13193,"NULL"
16276,"NULL"
20718,"NULL"
28677,"NULL"
34383,"FR06"
35632,"NULL"
39886,"NULL"
48185,"NULL"
25388,"NULL"
29522,"NULL"
31242,"NULL"
35191,"NULL"
38944,"NULL"
42064,"NULL"
43118,"NULL"
20960,"NULL"
20804,"NULL"
16342,"NULL"
15967,"NULL"
13110,"NULL"
12824,"NULL"
8938,"NULL"
8508,"NULL"
8308,"NULL"
8267,"NULL"
6714,"NULL"
1887,"NULL"
34325,"NULL"
39006,"NULL"
39869,"NULL"
44828,"NULL"
33951,"NULL"
30838,"NULL"
35378,"NULL"
31304,"NULL"
30799,"NULL"
35274,"NULL"
34377,"NULL"
13000,"NULL"
35434,"NULL"
28726,"NULL"
28908,"NULL"
29468,"NULL"
29518,"NULL"
33885,"SE03"
34610,"NULL"
42318,"NULL"
42708,"NULL"
47155,"NULL"
158,"NULL"
21250,"NULL"
21195,"NULL"
21052,"NULL"
15782,"NULL"
13189,"NULL"
12552,"NULL"
8473,"NULL"
3292,"NULL"
2874,"NULL"
1653,"NULL"
702,"NULL"
5400,"NULL"
21503,"NULL"
21202,"NULL"
20626,"NULL"
36492,"NULL"
1280,"NULL"
20115,"US04"
20001,"US15"
11427,"US15"
11351,"US15"
11426,"US15"
12271,"US15"
10796,"US15"
19108,"NULL"
6079,"NULL"
11060,"US15"
11955,"US15"
13343,"US15"
11492,"NULL"
20231,"US15"
10994,"US15"
12262,"US15"
33588,"US02"
12083,"NULL"
10838,"US15"
29737,"NULL"
6621,"NULL"
7843,"US15"
3737,"NULL"
11232,"NULL"
174,"NULL"
8047,"NULL"
7459,"NULL"
4181,"NULL"
7017,"US15"
29895,"NULL"
23292,"NULL"
27364,"NULL"
3356,"NULL"
15162,"NULL"
10311,"US15"
19817,"NULL"
2828,"NULL"
18566,"NULL"
29859,"NULL"
22759,"NULL"
1785,"NULL"
13490,"NULL"
2152,"NULL"
31939,"NULL"
14051,"NULL"
5056,"NULL"
11776,"NULL"
23456,"NULL"
197522,"NULL"
24896,"NULL"
25133,"NULL"
25385,"NULL"
28825,"NULL"
29107,"NULL"
29511,"NULL"
29685,"NULL"
30779,"NULL"
30822,"NULL"
30886,"NULL"
30955,"NULL"
31148,"NULL"
31272,"NULL"
31305,"NULL"
31725,"NULL"
33997,"NULL"
34092,"NULL"
34143,"NULL"
34187,"NULL"
34204,"NULL"
34661,"NULL"
34700,"NULL"
34743,"NULL"
35004,"NULL"
35320,"NULL"
35680,"NULL"
35804,"NULL"
35816,"NULL"
39047,"NULL"
39529,"NULL"
39608,"NULL"
39728,"NULL"
41435,"NULL"
41631,"NULL"
41665,"NULL"
41820,"NULL"
42335,"NULL"
42504,"NULL"
42590,"NULL"
42833,"NULL"
43011,"NULL"
43139,"NULL"
43266,"NULL"
43554,"NULL"
43802,"NULL"
45025,"NULL"
47694,"NULL"
48006,"NULL"
48323,"NULL"
48330,"NULL"
48957,"NULL"
49223,"NULL"
49984,"NULL"
50380,"NULL"
196705,"NULL"
196767,"NULL"
21310,"NULL"
21261,"NULL"
21011,"NULL"
20590,"NULL"
15742,"NULL"
15738,"NULL"
15713,"NULL"
15595,"NULL"
15377,"NULL"
13188,"NULL"
12507,"NULL"
12403,"NULL"
8813,"NULL"
8343,"NULL"
6876,"NULL"
6846,"NULL"
5415,"NULL"
3261,"NULL"
3255,"NULL"
43348,"NULL"
43659,"NULL"
44559,"NULL"
513,"NULL"
559,"NULL"
702,"NULL"
1836,"NULL"
6772,"NULL"
8220,"NULL"
8803,"NULL"
8821,"NULL"
8928,"NULL"
9044,"NULL"
10100,"NULL"
12350,"NULL"
12511,"NULL"
12620,"NULL"
15517,"NULL"
15547,"NULL"
15600,"NULL"
15623,"NULL"
21040,"NULL"
21232,"NULL"
21449,"NULL"
33845,"NULL"
34781,"NULL"
41549,"NULL"
41715,"NULL"
42496,"NULL"
44885,"NULL"
25171,"NULL"
29278,"NULL"
31219,"NULL"
31581,"NULL"
35311,"NULL"
43529,"NULL"
44419,"NULL"
44651,"NULL"
47421,"NULL"
2012,"NULL"
21229,"HU06"
15467,"NULL"
12594,"NULL"
8990,"NULL"
8512,"NULL"
8462,"NULL"
6784,"NULL"
6711,"NULL"
3314,"NULL"
3219,"NULL"
2547,"NULL"
1955,"NULL"
24822,"NULL"
23563,"NULL"
23578,"NULL"
38121,"NULL"
38661,"NULL"
38666,"NULL"
18318,"NULL"
18313,"NULL"
18310,"NULL"
17877,"NULL"
17871,"NULL"
17864,"NULL"
17854,"NULL"
17849,"NULL"
17839,"NULL"
17608,"NULL"
17573,"NULL"
10191,"NULL"
10164,"NULL"
10036,"NULL"
9981,"NULL"
9976,"NULL"
9943,"NULL"
9871,"NULL"
9848,"NULL"
9845,"NULL"
9781,"NULL"
9762,"NULL"
9756,"NULL"
9698,"NULL"
9694,"NULL"
9689,"NULL"
9638,"NULL"
9569,"NULL"
9319,"NULL"
7562,"NULL"
6619,"NULL"
4668,"NULL"
4663,"NULL"
17841,"NULL"
9683,"NULL"
47956,"NULL"
50463,"NULL"
378,"NULL"
22927,"AR04"
24164,"NULL"
24165,"NULL"
18429,"NULL"
18182,"NULL"
18049,"NULL"
17809,"NULL"
17716,"NULL"
9924,"NULL"
9919,"NULL"
9416,"NULL"
4780,"NULL"
4662,"NULL"
1659,"NULL"
18177,"NULL"
8248,"NULL"
3323,"NULL"
24413,"NULL"
18025,"NULL"
10230,"NULL"
10098,"NULL"
9729,"NULL"
9584,"NULL"
9381,"NULL"
9293,"NULL"
9229,"NULL"
4645,"NULL"
4616,"NULL"
4528,"NULL"
4158,"NULL"
4058,"NULL"
2706,"NULL"
2519,"NULL"
44515,"NULL"
15474,"NULL"
6677,"IS01"
31441,"NULL"
17465,"NULL"
17488,"NULL"
18002,"NULL"
18207,"NULL"
23682,"NULL"
23860,"NULL"
45194,"NULL"
45528,"NULL"
45769,"NULL"
45774,"NULL"
55577,"NULL"
45488,"NULL"
18209,"NULL"
24186,"NULL"
10029,"NULL"
39111,"NULL"
47580,"NULL"
16509,"NULL"
17451,"NULL"
1213,"NULL"
702,"NULL"
714,"NULL"
2873,"NULL"
34317,"NULL"
31034,"NULL"
137,"NULL"
15589,"NULL"
8928,"NULL"
48291,"NULL"
5396,"NULL"
7385,"NULL"
7065,"NULL"
21284,"NULL"
6939,"NULL"
6614,"NULL"
6298,"US09"
6222,"US20"
6167,"NULL"
5760,"NULL"
4922,"NULL"
3595,"NULL"
3593,"US12"
3561,"NULL"
3549,"NULL"
2914,"NULL"
2711,"NULL"
2698,"NULL"
2686,"US19"
2634,"NULL"
2386,"US19"
1668,"NULL"
1239,"NULL"
721,"NULL"
714,"NULL"
237,"NULL"
80,"NULL"
71,"NULL"
3,"NULL"
7377,"NULL"
8075,"NULL"
8560,"NULL"
10674,"NULL"
10835,"NULL"
10843,"NULL"
11166,"NULL"
11194,"NULL"
11343,"NULL"
11398,"US20"
11456,"US17"
12015,"NULL"
12035,"NULL"
12124,"NULL"
12180,"NULL"
12440,"NULL"
41920,"NULL"
13672,"NULL"
13675,"NULL"
13768,"NULL"
13807,"NULL"
14135,"NULL"
14265,"NULL"
14572,"NULL"
14615,"NULL"
14618,"NULL"
14654,"US19"
14677,"NULL"
14780,"NULL"
14905,"US20"
15003,"NULL"
15169,"NULL"
15305,"NULL"
16718,"US20"
16810,"NULL"
16817,"US01"
16852,"NULL"
16904,"NULL"
17184,"NULL"
17324,"NULL"
17819,"NULL"
18097,"NULL"
18712,"NULL"
19092,"NULL"
19181,"NULL"
19392,"NULL"
19994,"NULL"
20175,"NULL"
20357,"NULL"
21615,"NULL"
21788,"NULL"
21844,"NULL"
21864,"NULL"
21928,"NULL"
23504,"NULL"
23520,"NULL"
25653,"NULL"
25847,"NULL"
25994,"NULL"
26101,"NULL"
26611,"NULL"
26827,"NULL"
27357,"NULL"
29761,"NULL"
29854,"NULL"
30058,"NULL"
30094,"NULL"
30340,"NULL"
30496,"NULL"
31815,"NULL"
32107,"NULL"
32244,"NULL"
32448,"NULL"
32475,"NULL"
32855,"US20"
33070,"NULL"
33182,"NULL"
33655,"US07"
33656,"US07"
33665,"US07"
33739,"NULL"
35902,"NULL"
36149,"NULL"
36351,"NULL"
36646,"NULL"
36752,"NULL"
39939,"NULL"
40285,"NULL"
46375,"NULL"
46475,"NULL"
53318,"NULL"
23456,"NULL"
23974,"NULL"
45223,"NULL"
45629,"NULL"
17565,"NULL"
7693,"TH02"
4750,"NULL"
4621,"NULL"
4618,"NULL"
24718,"NULL"
30890,"NULL"
34358,"NULL"
34711,"NULL"
34744,"NULL"
39737,"NULL"
41496,"NULL"
41763,"NULL"
43890,"NULL"
44139,"NULL"
47148,"NULL"
48838,"NULL"
49210,"NULL"
49687,"NULL"
50915,"NULL"
15471,"NULL"
8751,"NULL"
6910,"NULL"
6663,"NULL"
5606,"NULL"
5541,"NULL"
3233,"NULL"
2614,"NULL"
47147,"NULL"
48277,"NULL"
49074,"NULL"
51474,"NULL"
56859,"NULL"
42143,"NULL"
31102,"NULL"
34979,"NULL"
15858,"NULL"
44739,"NULL"
35584,"NULL"
41440,"RU22"
7582,"NULL"
2042,"NULL"
17564,"NULL"
9930,"NULL"
38552,"NULL"
16345,"NULL"
47395,"NULL"
28812,"NULL"
31133,"NULL"
25490,"RU22"
28840,"NULL"
24955,"NULL"
21479,"RU22"
8997,"RU22"
25405,"RU22"
8359,"RU21"
12705,"RU22"
8402,"RU05"
6828,"RU22"
21017,"RU22"
28719,"RU22"
20485,"RU23"
31213,"NULL"
12389,"RU22"
12768,"RU11"
15500,"RU22"
12683,"RU22"
3239,"RU22"
25513,"RU21"
8732,"RU02"
42610,"RU22"
12332,"RU22"
3216,"RU05"
39435,"RU11"
41668,"RU11"
41843,"RU11"
25515,"RU22"
21127,"RU23"
35154,"RU22"
39927,"NULL"
41661,"RU11"
25008,"RU22"
6767,"RU21"
42116,"RU11"
42420,"NULL"
25436,"RU22"
13174,"NULL"
33934,"RU22"
8570,"RU22"
31094,"RU22"
8675,"RU22"
29456,"RU22"
8615,"NULL"
2878,"RU22"
43468,"RU22"
39229,"RU22"
34584,"RU22"
44775,"NULL"
6856,"NULL"
34449,"RU22"
31036,"NULL"
20632,"NULL"
34590,"RU11"
42682,"RU11"
41682,"RU11"
35807,"RU20"
31163,"NULL"
42145,"NULL"
44677,"NULL"
21487,"RU22"
28890,"NULL"
29497,"NULL"
12714,"NULL"
24699,"RU22"
21453,"NULL"
31200,"NULL"
5591,"RU22"
8439,"NULL"
34168,"RU22"
41786,"RU11"
24612,"RU22"
28884,"NULL"
31224,"NULL"
34145,"NULL"
31514,"NULL"
31208,"NULL"
34875,"RU22"
35531,"RU22"
34137,"RU22"
47241,"NULL"
13304,"NULL"
47313,"NULL"
41727,"RU11"
15774,"RU23"
41754,"RU11"
35125,"RU22"
13118,"RU22"
31205,"NULL"
41822,"RU21"
35473,"NULL"
42825,"RU22"
12668,"NULL"
12730,"RU22"
8369,"NULL"
44507,"NULL"
29209,"NULL"
43132,"NULL"
41704,"NULL"
35177,"RU22"
31195,"NULL"
42038,"NULL"
43478,"RU11"
39811,"NULL"
31585,"NULL"
42683,"RU11"
12958,"NULL"
42754,"NULL"
13056,"RU22"
48212,"NULL"
8594,"RU22"
41592,"NULL"
40993,"NULL"
25159,"NULL"
3226,"NULL"
8371,"RU05"
15582,"RU02"
34533,"RU11"
38951,"NULL"
41733,"NULL"
50543,"RU11"
51034,"NULL"
5408,"NULL"
7643,"VN03"
18747,"NULL"
43242,"NULL"
21502,"NULL"
34464,"NULL"
23674,"NULL"
23966,"NULL"
38193,"NULL"
9387,"PK06"
26105,"NULL"
21599,"NULL"
18809,"NULL"
3551,"NULL"
52284,"NULL"
23944,"NULL"
45499,"NULL"
17639,"NULL"
9386,"NULL"
25137,"NULL"
1930,"NULL"
36423,"PR02"
36810,"NULL"
16649,"NULL"
5786,"NULL"
29170,"NULL"
31042,"RS04"
33983,"NULL"
35573,"NULL"
41897,"NULL"
51052,"NULL"
21215,"RS04"
15926,"NULL"
13303,"NULL"
13092,"NULL"
13091,"NULL"
12558,"NULL"
8771,"NULL"
8661,"NULL"
6700,"RS03"
44712,"NULL"
41937,"NULL"
25496,"NULL"
29405,"NULL"
31117,"NULL"
31127,"NULL"
34820,"NULL"
35328,"NULL"
42841,"NULL"
48326,"NULL"
16295,"NULL"
16160,"NULL"
8264,"NULL"
8257,"NULL"
5610,"NULL"
5578,"NULL"
2607,"NULL"
2107,"NULL"
35471,"NULL"
42613,"NULL"
44647,"NULL"
9119,"NULL"
12810,"NULL"
29975,"NULL"
33762,"ZA01"
36874,"NULL"
36937,"NULL"
2018,"NULL"
16637,"NULL"
12258,"ZA04"
10474,"ZA04"
5713,"NULL"
3741,"NULL"
174,"NULL"
29119,"NULL"
43904,"NULL"
12334,"NULL"
766,"NULL"
13143,"ES02"
15732,"NULL"
11845,"ZA05"
37130,"NULL"
38229,"NULL"
5087,"NULL"
42910,"NULL"
12978,"TR04"
12735,"NULL"
8517,"NULL"
34296,"TR05"
38550,"NULL"
24326,"NULL"
45133,"NULL"
17645,"NULL"
9877,"NULL"
9419,"NULL"
9292,"NULL"
7634,"NULL"
7472,"NULL"
109,"NULL"
46078,"NULL"
24163,"NULL"
38839,"NULL"
15201,"NULL"
9800,"CN04"
9929,"CN04"
17623,"CN04"
17672,"CN02"
17785,"CN02"
17799,"CN02"
1257,"DE09"
17820,"IN06"
5486,"IL03"
8584,"IL04"
25351,"NO06"
21483,"RU05"
12970,"ES02"
20921,"ES04"
12429,"CH03"
5417,"NL03"
8209,"NL05"
8341,"NL06"
20689,"NL03"
30776,"NL06"
12918,"FI01"
13066,"ES02"
5561,"HU03"
8642,"DK02"
1902,"CZ01"
17430,"CN05"
31338,"RU21"
1257,"BE03"
15512,"CZ04"
9837,"AU02"
22291,"US04"
31312,"GB04"
8425,"HU06"
9457,"NULL"
16054,"RU22"
6197,"US19"
18822,"CL02"
22909,"US07"
23779,"JP06"
29101,"HU03"
19548,"US15"
8642,"SE03"
13571,"CA09"
31513,"PT04"
16967,"US19"
16012,"RU21"
6830,"SE01"
12375,"FI01"
15833,"PL02"
19157,"US04"
9277,"KR06"
9196,"IE05"
8493,"CH01"
15605,"NULL"
34033,"FR05"
8434,"NO04"
4670,"NULL"
12435,"DK03"
13177,"SE03"
3257,"IT03"
11707,"US15"
24828,"CZ04"
8052,"US15"
1257,"DK02"
6731,"RU21"
8638,"DE13"
6830,"NO01"
19444,"US04"
6721,"CZ01"
19115,"US04"
9345,"NZ03"
30947,"PT04"
9238,"IN06"
29372,"FR06"
6837,"CH03"
6813,"ES05"
8394,"NO04"
8984,"SE03"
15485,"CZ01"
3246,"DK01"
16629,"CL03"
3505,"US17"
6198,"US19"
8733,"BE04"
8266,"BE01"
31408,"NULL"
4763,"NZ03"
19632,"CL05"
12708,"GB04"
800,"CA05"
5089,"IE08"
16202,"DE08"
6728,"GB04"
12424,"ES03"
31070,"PT04"
8807,"DK02"
9727,"NULL"
6830,"BE04"
4355,"NULL"
13407,"NULL"
12358,"NULL"
42036,"NULL"
8387,"NULL"
2647,"NULL"
1111,"NULL"
1776,"NULL"
21079,"NULL"
1114,"NULL"
16509,"NULL"
1117,"NULL"
199083,"NULL"
2494,"NULL"
6262,"NULL"
2036,"NULL"
17477,"NULL"
12311,"NULL"
31382,"NULL"
6883,"NULL"
4826,"NULL"
8390,"NULL"
9503,"NULL"
7475,"NULL"
8262,"NULL"
48452,"NULL"
16154,"NULL"
201360,"NULL"
21230,"NULL"
29687,"NULL"
12796,"NULL"
200002,"NULL"
53037,"NULL"
16397,"NULL"
1403,"NULL"
16276,"NULL"
28271,"NULL"
52733,"NULL"
22368,"CO02"
1257,"NULL"
17638,"CN02"
24444,"NULL"
56040,"NULL"
56041,"NULL"
5588,"CZ01"
197451,"NULL"
2571,"NULL"
6740,"NULL"
43708,"NULL"
198403,"NULL"
51207,"NULL"
5588,"HU02"
50613,"NULL"
60300,"NULL"
21268,"IS04"
6775,"NULL"
1273,"NULL"
17665,"NULL"
23772,"NULL"
24554,"NULL"
38457,"NULL"
9605,"NULL"
4686,"NULL"
9198,"KZ02"
29355,"NULL"
21299,"NULL"
39725,"KZ02"
15965,"NULL"
12709,"MT02"
15735,"MT01"
33874,"NULL"
22566,"NULL"
28545,"MX02"
36903,"MA01"
1136,"NULL"
20940,"NULL"
16625,"NULL"
35916,"NULL"
21286,"NULL"
1128,"NULL"
33915,"NULL"
56030,"NULL"
57043,"NULL"
23905,"NULL"
45172,"NULL"
41483,"NULL"
45814,"NULL"
55714,"NULL"
132165,"NULL"
21575,"NULL"
132199,"NULL"
16276,"NULL"
62005,"NULL"
8926,"NULL"
197207,"NULL"
34714,"NULL"
5588,"NULL"
57217,"NULL"
50157,"NULL"
39543,"NULL"
12632,"NULL"
9112,"NULL"
15855,"NULL"
21111,"NULL"
41201,"NULL"
34339,"NULL"
5550,"NULL"
12324,"NULL"
8970,"NULL"
8323,"NULL"
6778,"NULL"
29649,"NULL"
15694,"NULL"
30851,"NULL"
42739,"NULL"
12618,"NULL"
8342,"NULL"
58313,"NULL"
2854,"NULL"
13238,"NULL"
12695,"NULL"
3267,"NULL"
44050,"NULL"
2118,"NULL"
48347,"NULL"
6690,"NULL"
1257,"NULL"
39272,"NULL"
12772,"RU20"
42362,"RU22"
3253,"RU05"
34602,"NULL"
41691,"NULL"
2895,"NULL"
47165,"NULL"
60496,"NULL"
16301,"RU22"
39891,"NULL"
20597,"NULL"
34974,"NULL"
34123,"NULL"
197498,"NULL"
6854,"NULL"
5523,"NULL"
8470,"NULL"
30868,"NULL"
8377,"NULL"
25532,"NULL"
42277,"NULL"
21246,"NULL"
15468,"NULL"
12418,"NULL"
48781,"NULL"
25086,"NULL"
35728,"NULL"
29190,"NULL"
15640,"NULL"
2875,"NULL"
8443,"NULL"
48524,"NULL"
21378,"NULL"
6863,"NULL"
51570,"RU11"
8492,"NULL"
8905,"NULL"
8580,"NULL"
5563,"NULL"
8331,"NULL"
44281,"NULL"
31214,"NULL"
50195,"NULL"
41134,"NULL"
42293,"NULL"
2683,"NULL"
2905,"NULL"
39102,"NULL"
34267,"NULL"
35000,"NULL"
25408,"NULL"
37457,"ZA02"
8427,"NULL"
49505,"NULL"
12091,"NULL"
51604,"NULL"
48642,"NULL"
39493,"NULL"
12688,"NULL"
48172,"NULL"
20807,"NULL"
50923,"NULL"
44546,"NULL"
41560,"NULL"
28745,"NULL"
6801,"NULL"
2820,"NULL"
49342,"NULL"
16285,"NULL"
51645,"NULL"
8334,"NULL"
42368,"NULL"
24739,"NULL"
52207,"NULL"
39134,"NULL"
30922,"NULL"
8595,"NULL"
34456,"NULL"
15974,"NULL"
51964,"NULL"
30881,"NULL"
15756,"NULL"
58272,"NULL"
8416,"NULL"
56736,"NULL"
35539,"NULL"
31257,"NULL"
39812,"NULL"
6830,"CH01"
15585,"NULL"
8640,"NULL"
15675,"NULL"
49071,"NULL"
49335,"NULL"
44776,"NULL"
8883,"NULL"
34578,"NULL"
23969,"TH01"
131445,"NULL"
31365,"NULL"
47331,"TR01"
57166,"NULL"
29632,"NULL"
49858,"NULL"
48683,"NULL"
6712,"NULL"
45543,"VN05"
1273,"NULL"
16223,"NULL"
45903,"NULL"
1290,"NULL"
48437,"NULL"
34867,"NULL"
5503,"NULL"
9205,"NULL"
1668,"NULL"
25500,"NULL"
8426,"NULL"
5413,"NULL"
15683,"NULL"
8928,"NULL"
60339,"NULL"
47800,"NULL"
3356,"NULL"
49125,"NULL"
15395,"NULL"
35362,"NULL"
3254,"NULL"
43120,"NULL"
51784,"NULL"
48045,"NULL"
44924,"NULL"
39906,"NULL"
41911,"NULL"
24881,"NULL"
47702,"NULL"
34056,"NULL"
29442,"NULL"
15772,"NULL"
3651,"NULL"
306,"NULL"
11003,"NULL"
35994,"NULL"
10455,"NULL"
4249,"NULL"
668,"NULL"
4152,"NULL"
1761,"NULL"
16509,"NULL"
81,"NULL"
1660,"NULL"
20940,"NULL"
3479,"NULL"
4565,"NULL"
10695,"NULL"
27064,"NULL"
210,"NULL"
18676,"NULL"
2687,"NULL"
600,"NULL"
13335,"NULL"
4010,"NULL"
1226,"NULL"
18779,"NULL"
109,"NULL"
46690,"NULL"
72,"NULL"
5006,"NULL"
16625,"NULL"
22284,"NULL"
7155,"NULL"
8103,"NULL"
297,"NULL"
7792,"NULL"
3371,"NULL"
1906,"NULL"
6461,"NULL"
6325,"NULL"
51964,"NULL"
3491,"NULL"
395,"NULL"
665,"NULL"
387,"NULL"
2572,"NULL"
26496,"NULL"
157,"NULL"
19773,"NULL"
7046,"NULL"
440,"NULL"
3354,"NULL"
32392,"NULL"
36352,"NULL"
10722,"NULL"
4193,"NULL"
2381,"NULL"
31822,"NULL"
18978,"NULL"
87,"NULL"
4436,"NULL"
13354,"NULL"
22898,"NULL"
36647,"NULL"
46606,"NULL"
31377,"NULL"
22017,"NULL"
1767,"NULL"
37978,"NULL"
60974,"NULL"
8075,"NULL"
42114,"NULL"
41701,"NULL"
51896,"IS03"
55410,"NULL"
5532,"MT01"
18734,"NULL"
45138,"NULL"
199590,"NULL"
3210,"NULL"
49287,"NULL"
44348,"NULL"
43660,"NULL"
8641,"NULL"
58115,"NULL"
15576,"NULL"
41018,"NULL"
42331,"NULL"
36925,"NULL"
30983,"NULL"
36666,"NULL"
5434,"NULL"
35566,"NULL"
48503,"NULL"
50482,"KZ02"
15736,"NULL"
39824,"NULL"
20521,"NULL"
12046,"NULL"
34558,"NULL"
15892,"NULL"
35356,"NULL"
35713,"NULL"
3132,"NULL"
19180,"PE03"
3549,"NULL"
262210,"NULL"
27843,"NULL"
52400,"NULL"
51964,"NULL"
36935,"NULL"
20928,"NULL"
15804,"NULL"
6127,"NULL"
7602,"VN02"
48030,"NULL"
1668,"NULL"
50528,"NULL"
21305,"NULL"
34748,"NULL"
29485,"NULL"
39211,"NULL"
35753,"SA03"
35388,"NULL"
5080,"NULL"
13041,"NULL"
